Hybridization REF	TCGA-AA-3841-01A-01R-0905-07	TCGA-AA-3866-01A-01R-1022-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-AA-3939-01A-01R-1022-07	TCGA-AA-3941-01A-01R-1022-07	TCGA-AA-3968-01A-01R-1022-07	TCGA-AA-3970-01A-01R-1022-07	TCGA-AA-3977-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3980-01A-02R-1022-07
TM4SF5|9032	49.7327937873908	2.18245646599427	30.9647227795104	15.7115751667095	40.6756480319955	38.8697130642348	11.0393028370517	3.21217980825866	7.02720689303078	2.59979951282085
TM6SF1|53346	0.633515976996629	3.09601964892019	1.23340053584675	0.919083782328283	0.389753189783918	1.11666756885819	1.53009483208898	2.02183135656879	0.324107257899709	1.22597598611272
TM6SF2|53345	0.521823420027308	0.165761267784399	0.208536045454588	0.106395367049065	0.68739779582532	0.436901471647767	0.273071543420689	0.0902075801930559	0.161958924648827	0.0954747681455035
TM7SF2|7108	18.703365847723	11.0921662679381	9.29358753467406	6.3053200660871	19.8798167531157	5.84344691403874	9.65805510786733	9.23785605757072	11.6933367227342	5.86182417205618
TM7SF3|51768	9.31272298628533	16.944738819952	8.76842515592247	30.7054985122021	16.813142947015	13.5275328475074	8.57266201061785	12.4512510025171	12.6795492379943	12.0054248521352
TM7SF4|81501	0	0.899531470009746	0.246449531860665	0.0404160679645911	0.0746056009374231	0.0873496659908378	0.165969302824952	0.137067460477768	0.0175779482768011	0
TM9SF1|10548	22.2402612691842	27.9126657932797	22.2936608854506	14.1320146182844	27.3270325977116	16.9171336205078	23.3560528844642	17.4686413921972	20.568484479483	16.9917985025345
TM9SF2|9375	49.5677679256528	180.162698266342	89.5147303238447	127.177705226304	112.401035215499	171.605049583954	102.432348543494	89.7785467088277	116.776662098386	118.40403437323
TM9SF3|56889	14.01862297321	59.4921515315624	35.0556532533108	74.6086951757942	80.4123682839133	72.8442653500838	60.2955541737759	63.9098812084952	69.746108635954	35.4622194097435
TM9SF4|9777	40.5029549461903	58.3718089640699	19.5656120464471	18.2290233050827	28.3745543892679	38.5048340761922	37.2333188280517	16.1526371828911	29.3493649459082	28.3340122376813
TMBIM1|64114	161.880419694551	79.7458352555167	336.424191263406	113.665663856962	199.13201881249	80.1161239338427	55.3741976426061	71.108951333251	138.942138526884	80.7756592839656
TMBIM4|51643	9.25551785661725	30.995364059332	15.2593627561303	68.1678975430061	45.539655386826	26.775003885273	43.478811005166	29.1111249615375	35.1671090654599	30.7129139226714
TMBIM6|7009	174.106826027255	214.503997219646	262.987637216557	550.292121881631	370.253940010174	216.104553199649	231.48965864727	263.154522597211	373.220128054623	198.801216397146
TMC1|117531	0	0.0381161815367371	0.111888189366554	0.0428141269899865	0.0395161359523833	0.0493506651270956	0.0879084874586575	0.0968001746934167	0.0744836940006856	0.10245230185223
TMC2|117532	0.0275789070527619	0	0.0489837578853495	0.0281155255405851	0.077849322717311	0.0243059940148418	0.0144321132891262	0.0715134576405748	0.0366844137950632	0.0126148504240718
